temperatura,hora,dia_semana,consumo_energia,imputado_temperatura,imputado_consumo_energia,outlier_temperatura,outlier_consumo_energia
28.699720256896583,1,1,428.3903362679877,0,0,0,0
16.159716404128012,1,1,277.9405635335459,0,0,0,0
28.494142101012674,1,1,379.2730621707481,0,0,0,0
22.23537991881883,1,1,325.99102600982343,0,0,0,0
22.91687347192269,1,1,292.0670124408639,0,0,0,0
16.738786613232552,1,1,282.17642697617646,0,0,0,0
29.203100132522763,1,1,392.07912352213935,0,0,0,0
21.732685521375963,1,1,320.58720839174424,0,0,0,0
27.350068306233307,1,1,350.03745517913507,0,0,0,0
30.1472027796352,1,1,412.76207110063626,0,0,0,0
35.849682940402715,1,1,454.1155710083332,0,0,0,0
22.88154641544662,1,1,358.0102492552066,0,0,0,0
26.748250236498468,1,1,382.4346220163261,0,0,0,0
29.892110560140175,1,1,405.82664424575387,0,0,0,0
26.135172394324446,1,1,364.2142325623054,0,0,0,0
26.083877818813146,1,1,405.9830959370862,0,0,0,0
21.429674410089106,1,1,339.51579791574227,0,0,0,0
23.23773134181129,1,1,324.05610988750595,0,0,0,0
24.048795777933922,1,1,313.54003593816043,0,0,0,0
31.44037862426189,1,1,412.1137349061345,0,0,0,0
24.872529357074,1,1,357.0884801189377,0,0,0,0
31.486487669627728,1,1,405.4814811426615,0,0,0,0
22.621022779975494,1,1,316.520359143867,0,0,0,0
32.311273020173644,1,1,433.96397878219256,0,0,0,0
28.39465645029639,1,1,346.67939163765345,0,0,0,0
31.348066312999215,1,1,412.84665805279394,0,0,0,0
31.48031530890698,1,1,446.49183385787444,0,0,0,0
28.01547342474417,1,1,396.0785285639666,0,0,0,0
29.75653122149742,1,1,378.15022468820416,0,0,0,0
28.184540395014928,1,1,396.9827252163393,0,0,0,0
25.707978933699415,1,1,365.8516779993114,0,0,0,0
26.400226713487022,1,1,363.85533068585096,0,0,0,0
18.56418215707875,1,1,262.60337636131845,0,0,0,0
28.989876272909527,1,1,382.9130557703791,0,0,0,0
15.531926665231072,1,1,257.6374398203033,0,0,0,0
19.189670898718585,1,1,295.4681734064084,0,0,0,0
29.312717423075853,1,1,404.61925269145377,0,0,0,0
18.244628168959892,1,1,253.933983088694,0,0,0,0
29.67327353668312,1,1,401.1576100032388,0,0,0,0
18.95758897865462,1,1,247.17076348975394,0,0,0,0
27.755085301131498,1,1,355.9882951043139,0,0,0,0
18.54528890253388,1,1,308.27504535583006,0,0,0,0
29.85965171720317,1,1,366.8246731594836,0,0,0,0
23.40076238372578,1,1,295.2895724351623,0,0,0,0
24.489484705542804,1,1,349.79782097883515,0,0,0,0
30.594472989653347,1,1,413.73082261400873,0,0,0,0
29.658329834340474,1,1,460.0100323755248,0,0,0,0
31.57754145470052,1,1,429.8984085421746,0,0,0,0
20.320843851047172,1,1,286.28763814544067,0,0,0,0
26.07834385466809,1,1,365.5180916641111,0,0,0,0
30.807515242409877,1,1,407.3524354467593,0,0,0,0
22.053731346024662,1,1,306.4519550312583,0,0,0,0
22.284890268071052,1,1,319.81332119785816,0,0,0,0
30.90064086870764,1,1,435.4780018822618,0,0,0,0
19.28136896339669,1,1,294.36751885571823,0,0,0,0
21.02221466029559,1,1,321.2876274456194,0,0,0,0
27.010989124561757,1,1,404.78158789379876,0,0,0,0
24.30832358991811,1,1,357.04672795899245,0,0,0,0
28.89180538083319,1,1,401.99060199549655,0,0,0,0
22.892088442798535,1,1,310.13433845042385,0,0,0,0
30.95630340815916,2,1,403.81143692404095,0,0,0,0
22.077723540747808,2,1,304.03462876181163,0,0,0,0
22.723897095586473,2,1,329.8440959954284,0,0,0,0
31.800840654140064,2,1,425.35669152136524,0,0,0,0
27.460071402834494,2,1,388.2867133033651,0,0,0,0
27.10268352952035,2,1,353.13811434022955,0,0,0,0
16.30287377883861,2,1,283.4777932961092,0,0,0,0
30.68888390334331,2,1,409.30703696577,0,0,0,0
21.762290971824203,2,1,321.1703826580724,0,0,0,0
29.49780688369154,2,1,428.48852022399655,0,0,0,0
25.018478359239236,2,1,377.0908416029768,0,0,0,0
20.117999756681012,2,1,296.9954816077059,0,0,0,0
30.115282776261196,2,1,413.62471922784556,0,0,0,0
30.3573796512728,2,1,413.3582644820003,0,0,0,0
25.974775462060936,2,1,355.9807654703898,0,0,0,0
26.345904601275798,2,1,406.7725951143643,0,0,0,0
28.28464533171044,2,1,378.2493496878379,0,0,0,0
26.50936690360506,2,1,387.32228151726844,0,0,0,0
27.479025105137854,2,1,406.9654758465799,0,0,0,0
20.890925857893272,2,1,338.28008676565173,0,0,0,0
25.2583048842554,2,1,346.40185503226314,0,0,0,0
30.26992885591438,2,1,391.36651469187285,0,0,0,0
23.335697978087445,2,1,383.76602335976554,0,0,0,0
25.05940217258896,2,1,381.5439120571769,0,0,0,0
27.239653663864736,2,1,418.0558001480181,0,0,0,0
15.632793480226916,2,1,262.9805746520872,0,0,0,0
25.952498398895333,2,1,351.82548196380804,0,0,0,0
34.20907804693304,2,1,440.42214771652743,0,0,0,0
26.988187508881396,2,1,359.6105078946161,0,0,0,0
29.23441051942457,2,1,413.4938493383529,0,0,0,0
30.185794493291215,2,1,429.6912795945792,0,0,0,0
24.933476823106822,2,1,334.2930769355469,0,0,0,0
28.963555088668322,2,1,396.52109406858483,0,0,0,0
27.18753101736518,2,1,365.2259347933096,0,0,0,0
17.21524456646761,2,1,296.1711842201917,0,0,0,0
30.176246673618763,2,1,406.8100528207061,0,0,0,0
26.07698252728144,2,1,352.3498450164398,0,0,0,0
26.400805794098034,2,1,386.2315387220131,0,0,0,0
32.44556554164145,2,1,416.96795211397114,0,0,0,0
25.016877532985806,2,1,357.01460230021314,0,0,0,0
24.84868471201507,2,1,341.05803212354664,0,0,0,0
20.882325146870752,2,1,299.3189939577932,0,0,0,0
23.334811904731193,2,1,365.9735119553388,0,0,0,0
27.169176200444383,2,1,360.8028780007002,0,0,0,0
18.392221067444744,2,1,287.7493901535854,0,0,0,0
31.13466611942154,2,1,399.3960463747731,0,0,0,0
23.263488555210785,2,1,334.21258258486966,0,0,0,0
23.481369856116675,2,1,328.6107412144372,0,0,0,0
30.932077952588045,2,1,403.0770085723472,0,0,0,0
25.725318729796907,2,1,337.9999760819835,0,0,0,0
21.60509826768434,2,1,308.5441818605483,0,0,0,0
26.57011301243057,2,1,371.2045592579218,0,0,0,0
29.38086965846538,2,1,404.7215071509001,0,0,0,0
34.170672821811955,2,1,456.63208654942963,0,0,0,0
19.73726404064945,2,1,293.1406668789571,0,0,0,0
